Company Name,Scrip Name,URL,Sector,Identifier
Adhunik Synth,AS,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS,textilesweaving,adhuniksynthetics
Adinath Exim,AER,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER,financeinvestments,adinatheximresources
Adithya Alkaloi,AAL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL,pharmaceuticals,adithyaalkaloids
Aditya Birla Ch,ABC08,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08,chemicals,adityabirlachemicals
Aditya Consumer,ACM01,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01,retail,adityaconsumermarketing
Aditya Forge,AF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF,castingsforgings,adityaforge
Aditya Lime,ALI01,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01,chemicals,adityalimeindustries
Aditya Spinners,AS01,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01,textilesspinningsyntheticblended,adityaspinners
Adjia Tech,AT24,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24,software,adjiatechnologies
Ador Fontech,AF22,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22,electrodesgraphite,adorfontech
Ador Technopak,AT11,https://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11,packaging,adortechnopak
Adroit Info PP,AIP01,https://www.moneycontrol.com/india/stockpricequote/onlineservices/adroitinfotechpp/AIP01,onlineservices,adroitinfotechpp
ADS Diagnostic,ADS,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS,hospitalsmedicalservices,adsdiagnostic
Advance Bio-Coa,ABC04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04,miscellaneous,advancebiocoalindia
Advance Multi,AM02,https://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02,rubber,advancemultitech
Advance Syntex,AS08,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08,miscellaneous,advancesyntex
Advani Hotels,AHR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR,hotels,advanihotelsresortsindia
Advik Capital,AIL04,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04,financeinvestments,advikcapital
AEC Enterprises,AEC,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC,miscellaneous,aecenterprises
Aelea Commo,ACL09,https://www.moneycontrol.com/india/stockpricequote/consumerfood/aeleacommodities/ACL09,consumerfood,aeleacommodities
Aeroflex Ind.,AI87,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/aeroflexindustries/AI87,engineeringindustrialequipments,aeroflexindustries
AERPACE-RE,AIR01,https://www.moneycontrol.com/india/stockpricequote/aerpacere/aerpaceindustriesre/AIR01,aerpacere,aerpaceindustriesre
