Company Name,Link
Castrol,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
CCL Products,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
Ceat,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
Central Bank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
CenturyPlyboard,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
Cera Sanitary,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
CESC,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES
CG Consumer,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CG Power,https://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG
Chalet Hotels,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03
Chambal Fert,https://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
CHEMPLAST SANMA,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/chemplastsanmar/CS23
Chennai Petro,https://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
Chola Fin Hold,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII
Chola Invest.,https://www.moneycontrol.com/india/stockpricequote/cholainvest/cholamandalaminvestmentfinancecompany/CDB
CIEINDIA,https://www.moneycontrol.com/india/stockpricequote/cieindia/cieautomotiveindia/MF19
Cipla,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
City Union Bank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
Clean Science,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/cleansciencetechnology/CST
Coal India,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
Cochin Shipyard,https://www.moneycontrol.com/india/stockpricequote/cochinshipyard/cochinshipyard/CS
COFORGE LTD.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/coforgelimited/NII02
Colgate,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
Container Corp,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
Coromandel Int,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
CRISIL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI
Cummins,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
Cyient,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07
Dabur India,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
Dalmia Bharat,https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL
DCM Shriram,https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
Deepak Fert,https://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilisersandpetrochemicalscorporation/DFP
Deepak Nitrite,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN
Divis Labs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
Dixon Technolog,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07
DLF,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
Dr Lal PathLab,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
Dr Reddys Labs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
eClerx Services,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06
Eicher Motors,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
EID Parry,https://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID
EIH,https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH
Elgi Equipments,https://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01
Emami,https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06
Endurance Techn,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
Engineers India,https://www.moneycontrol.com/india/stockpricequote/engineersindia/engineersindia/EI14
Esab India,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06
Escorts Kubota,https://www.moneycontrol.com/india/stockpricequote/escortskubota/escortskubota/E
Exide Ind,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI
FDC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
Federal Bank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB
Fine Organics,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
Finolex Cables,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01
Finolex Ind,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
Firstsource Sol,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07
Fortis Health,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
FSN E-Co Nykaa,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fsnecommerceventuresnykaa/FEV
GAIL,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
Galaxy Surfacta,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
